Gene,Signature,Type
P4HA1,Amino Acid Synthesis & Transport,Metabolism
KMT2D,Amino Acid Synthesis & Transport,Metabolism
BCAT1,Amino Acid Synthesis & Transport,Metabolism
ACSF3,Amino Acid Synthesis & Transport,Metabolism
NSD2,Amino Acid Synthesis & Transport,Metabolism
NOS3,Amino Acid Synthesis & Transport,Metabolism
EZH2,Amino Acid Synthesis & Transport,Metabolism
PYCR1,Amino Acid Synthesis & Transport,Metabolism
SRR,Amino Acid Synthesis & Transport,Metabolism
NOS2,Amino Acid Synthesis & Transport,Metabolism
ADH1A/B/C,Amino Acid Synthesis & Transport,Metabolism
ADH6,Amino Acid Synthesis & Transport,Metabolism
NAT8L,Amino Acid Synthesis & Transport,Metabolism
HDC,Amino Acid Synthesis & Transport,Metabolism
SLC1A5,Amino Acid Synthesis & Transport,Metabolism
GLUL,Amino Acid Synthesis & Transport,Metabolism
LDHA,Amino Acid Synthesis & Transport,Metabolism
ARG1,Amino Acid Synthesis & Transport,Metabolism
SLC7A5,Amino Acid Synthesis & Transport,Metabolism
SETD2,Amino Acid Synthesis & Transport,Metabolism
GLUD1,Amino Acid Synthesis & Transport,Metabolism
EHHADH,Amino Acid Synthesis & Transport,Metabolism
LDHB,Amino Acid Synthesis & Transport,Metabolism
ADH4,Amino Acid Synthesis & Transport,Metabolism
KMT2C,Amino Acid Synthesis & Transport,Metabolism
KYAT1,Amino Acid Synthesis & Transport,Metabolism
NSD1,Amino Acid Synthesis & Transport,Metabolism
SUV39H2,Amino Acid Synthesis & Transport,Metabolism
P4HA2,Amino Acid Synthesis & Transport,Metabolism
GOT2,Amino Acid Synthesis & Transport,Metabolism
FOLH1,Amino Acid Synthesis & Transport,Metabolism
PSAT1,Amino Acid Synthesis & Transport,Metabolism
ARG2,Amino Acid Synthesis & Transport,Metabolism
SFXN1,Amino Acid Synthesis & Transport,Metabolism
PHGDH,Amino Acid Synthesis & Transport,Metabolism
SLC16A2,Amino Acid Synthesis & Transport,Metabolism
OAT,Amino Acid Synthesis & Transport,Metabolism
PYCR3,Amino Acid Synthesis & Transport,Metabolism
TPO,Amino Acid Synthesis & Transport,Metabolism
ASL,Amino Acid Synthesis & Transport,Metabolism
MIF,Amino Acid Synthesis & Transport,Metabolism
ASPA,Amino Acid Synthesis & Transport,Metabolism
PSPH,Amino Acid Synthesis & Transport,Metabolism
RIMKLB,Amino Acid Synthesis & Transport,Metabolism
ASNS,Amino Acid Synthesis & Transport,Metabolism
PYCR2,Amino Acid Synthesis & Transport,Metabolism
GOT1,Amino Acid Synthesis & Transport,Metabolism
PLOD2,Amino Acid Synthesis & Transport,Metabolism
NOS1,Amino Acid Synthesis & Transport,Metabolism
NSD3,Amino Acid Synthesis & Transport,Metabolism
DNMT1,Amino Acid Synthesis & Transport,Metabolism
GLS,Amino Acid Synthesis & Transport,Metabolism
DNMT3A,Amino Acid Synthesis & Transport,Metabolism
GPT,Amino Acid Synthesis & Transport,Metabolism
RIMKLA,Amino Acid Synthesis & Transport,Metabolism
PIK3CB,AMPK Signaling,Signaling Pathways
CCNA1,AMPK Signaling,Signaling Pathways
LEP,AMPK Signaling,Signaling Pathways
RPTOR,AMPK Signaling,Signaling Pathways
CCND1,AMPK Signaling,Signaling Pathways
IRS1,AMPK Signaling,Signaling Pathways
AKT1,AMPK Signaling,Signaling Pathways
CREB1,AMPK Signaling,Signaling Pathways
PFKM,AMPK Signaling,Signaling Pathways
PIK3R3,AMPK Signaling,Signaling Pathways
PPP2R3A,AMPK Signaling,Signaling Pathways
PRKAA2,AMPK Signaling,Signaling Pathways
CD36,AMPK Signaling,Signaling Pathways
PFKFB3,AMPK Signaling,Signaling Pathways
CREB3L4,AMPK Signaling,Signaling Pathways
IGF1,AMPK Signaling,Signaling Pathways
CCNA2,AMPK Signaling,Signaling Pathways
MTOR,AMPK Signaling,Signaling Pathways
PPARG,AMPK Signaling,Signaling Pathways
RPS6KB1,AMPK Signaling,Signaling Pathways
AKT3,AMPK Signaling,Signaling Pathways
FBP1,AMPK Signaling,Signaling Pathways
PIK3R1,AMPK Signaling,Signaling Pathways
PIK3CD,AMPK Signaling,Signaling Pathways
LEPR,AMPK Signaling,Signaling Pathways
CREB5,AMPK Signaling,Signaling Pathways
PCK1,AMPK Signaling,Signaling Pathways
CREB3L1,AMPK Signaling,Signaling Pathways
PPP2CB,AMPK Signaling,Signaling Pathways
PIK3R2,AMPK Signaling,Signaling Pathways
TSC1,AMPK Signaling,Signaling Pathways
PPP2R2C,AMPK Signaling,Signaling Pathways
PPP2R2B,AMPK Signaling,Signaling Pathways
SREBF1,AMPK Signaling,Signaling Pathways
MAP3K7,AMPK Signaling,Signaling Pathways
PPARGC1A,AMPK Signaling,Signaling Pathways
STK11,AMPK Signaling,Signaling Pathways
PIK3CA,AMPK Signaling,Signaling Pathways
IGF1R,AMPK Signaling,Signaling Pathways
PPP2R1A,AMPK Signaling,Signaling Pathways
EIF4EBP1,AMPK Signaling,Signaling Pathways
AKT2,AMPK Signaling,Signaling Pathways
CREB3L3,AMPK Signaling,Signaling Pathways
PCK2,AMPK Signaling,Signaling Pathways
HDAC1,Androgen Signaling,Signaling Pathways
CCNE1,Androgen Signaling,Signaling Pathways
HDAC6,Androgen Signaling,Signaling Pathways
AR,Androgen Signaling,Signaling Pathways
KLF4,Androgen Signaling,Signaling Pathways
LIFR,Androgen Signaling,Signaling Pathways
TMPRSS2,Androgen Signaling,Signaling Pathways
NKX3-1,Androgen Signaling,Signaling Pathways
EP300,Androgen Signaling,Signaling Pathways
SGK1,Androgen Signaling,Signaling Pathways
MERTK,Androgen Signaling,Signaling Pathways
CDC14B,Androgen Signaling,Signaling Pathways
ARID1A,Androgen Signaling,Signaling Pathways
DAXX,Androgen Signaling,Signaling Pathways
TACSTD2,Androgen Signaling,Signaling Pathways
NODAL,Androgen Signaling,Signaling Pathways
B2M,Androgen Signaling,Signaling Pathways
NCOR1,Androgen Signaling,Signaling Pathways
CTNNB1,Androgen Signaling,Signaling Pathways
KRT19,Androgen Signaling,Signaling Pathways
ID2,Androgen Signaling,Signaling Pathways
TARP/TRGC1/2,Androgen Signaling,Signaling Pathways
SFRP1,Androgen Signaling,Signaling Pathways
ITGAV,Androgen Signaling,Signaling Pathways
RHOA,Androgen Signaling,Signaling Pathways
PPARGC1A,Androgen Signaling,Signaling Pathways
BRCA1,Androgen Signaling,Signaling Pathways
SMARCA4,Androgen Signaling,Signaling Pathways
RB1,Androgen Signaling,Signaling Pathways
MAF,Androgen Signaling,Signaling Pathways
DAB2,Androgen Signaling,Signaling Pathways
HPGD,Androgen Signaling,Signaling Pathways
CMA1,Angiotensin System,Metabolism
CTSG,Angiotensin System,Metabolism
MME,Angiotensin System,Metabolism
REN,Angiotensin System,Metabolism
CPA3,Angiotensin System,Metabolism
PIK3R3,Apoptosis,Cell Function
PIK3CB,Apoptosis,Cell Function
PSMB2,Apoptosis,Cell Function
IL3,Apoptosis,Cell Function
GADD45B,Apoptosis,Cell Function
CHUK,Apoptosis,Cell Function
NFKB1,Apoptosis,Cell Function
CASP8,Apoptosis,Cell Function
TRAF2,Apoptosis,Cell Function
TNFRSF10A,Apoptosis,Cell Function
PMAIP1,Apoptosis,Cell Function
MAPK1,Apoptosis,Cell Function
CTSL,Apoptosis,Cell Function
PSMB5,Apoptosis,Cell Function
AKT1,Apoptosis,Cell Function
CDH1,Apoptosis,Cell Function
MAP2K1,Apoptosis,Cell Function
CTSH,Apoptosis,Cell Function
FAS,Apoptosis,Cell Function
BAD,Apoptosis,Cell Function
PSMB8,Apoptosis,Cell Function
TICAM1,Apoptosis,Cell Function
MAPK9,Apoptosis,Cell Function
NRAS,Apoptosis,Cell Function
TLR4,Apoptosis,Cell Function
PARP4,Apoptosis,Cell Function
BIRC5,Apoptosis,Cell Function
IL3RA,Apoptosis,Cell Function
RAF1,Apoptosis,Cell Function
CTNNB1,Apoptosis,Cell Function
GADD45A,Apoptosis,Cell Function
IKBKG,Apoptosis,Cell Function
BNIP3L,Apoptosis,Cell Function
TFDP1,Apoptosis,Cell Function
KRAS,Apoptosis,Cell Function
FADD,Apoptosis,Cell Function
APC,Apoptosis,Cell Function
TICAM2,Apoptosis,Cell Function
TP73,Apoptosis,Cell Function
TNFRSF1A,Apoptosis,Cell Function
JUN,Apoptosis,Cell Function
C1QBP,Apoptosis,Cell Function
MCL1,Apoptosis,Cell Function
RPS27A,Apoptosis,Cell Function
PNMA1,Apoptosis,Cell Function
CDKN2A,Apoptosis,Cell Function
PSMB10,Apoptosis,Cell Function
PPP3R1,Apoptosis,Cell Function
CASP7,Apoptosis,Cell Function
TNFRSF10C,Apoptosis,Cell Function
BCL2L1,Apoptosis,Cell Function
PRF1,Apoptosis,Cell Function
PIK3R1,Apoptosis,Cell Function
PIK3CD,Apoptosis,Cell Function
MAPK10,Apoptosis,Cell Function
BCL2,Apoptosis,Cell Function
TP53,Apoptosis,Cell Function
CTSW,Apoptosis,Cell Function
CASP9,Apoptosis,Cell Function
ENDOG,Apoptosis,Cell Function
CASP12,Apoptosis,Cell Function
ITPK1,Apoptosis,Cell Function
ACTB,Apoptosis,Cell Function
MAPK3,Apoptosis,Cell Function
STAT3,Apoptosis,Cell Function
BCL6B,Apoptosis,Cell Function
NGF,Apoptosis,Cell Function
PSMB7,Apoptosis,Cell Function
MAPK8,Apoptosis,Cell Function
ROCK1,Apoptosis,Cell Function
TNFRSF10B,Apoptosis,Cell Function
DDIT3,Apoptosis,Cell Function
GIMAP4,Apoptosis,Cell Function
RIPK1,Apoptosis,Cell Function
PSMB9,Apoptosis,Cell Function
CASP3,Apoptosis,Cell Function
BID,Apoptosis,Cell Function
PPP3CC,Apoptosis,Cell Function
CAPN2,Apoptosis,Cell Function
MAP3K14,Apoptosis,Cell Function
GADD45G,Apoptosis,Cell Function
PSMD7,Apoptosis,Cell Function
LY96,Apoptosis,Cell Function
RELA,Apoptosis,Cell Function
FOS,Apoptosis,Cell Function
CSF2RB,Apoptosis,Cell Function
NFKBIA,Apoptosis,Cell Function
IKBKB,Apoptosis,Cell Function
CASP10,Apoptosis,Cell Function
DSP,Apoptosis,Cell Function
TNF,Apoptosis,Cell Function
UBB,Apoptosis,Cell Function
BIRC7,Apoptosis,Cell Function
HRAS,Apoptosis,Cell Function
TRAF1,Apoptosis,Cell Function
BCL2A1,Apoptosis,Cell Function
DAXX,Apoptosis,Cell Function
CD14,Apoptosis,Cell Function
FASLG,Apoptosis,Cell Function
HMGB1,Apoptosis,Cell Function
GZMB,Apoptosis,Cell Function
AKT3,Apoptosis,Cell Function
E2F1,Apoptosis,Cell Function
BIRC3,Apoptosis,Cell Function
UBC,Apoptosis,Cell Function
MAP2K2,Apoptosis,Cell Function
CTSS,Apoptosis,Cell Function
MAPT,Apoptosis,Cell Function
BAX,Apoptosis,Cell Function
PRKCD,Apoptosis,Cell Function
AKT2,Apoptosis,Cell Function
PSMC4,Apoptosis,Cell Function
PIK3CA,Apoptosis,Cell Function
SFN,Apoptosis,Cell Function
PIK3R2,Apoptosis,Cell Function
BBC3,Apoptosis,Cell Function
TNFRSF10D,Apoptosis,Cell Function
NTRK1,Apoptosis,Cell Function
ATM,Apoptosis,Cell Function
TNFSF10,Apoptosis,Cell Function
MAP3K5,Apoptosis,Cell Function
NOS3,Arginine Metabolism,Metabolism
OTC,Arginine Metabolism,Metabolism
NOS2,Arginine Metabolism,Metabolism
GLUL,Arginine Metabolism,Metabolism
ARG1,Arginine Metabolism,Metabolism
GLUD1,Arginine Metabolism,Metabolism
ACY1,Arginine Metabolism,Metabolism
ARG2,Arginine Metabolism,Metabolism
GPT,Arginine Metabolism,Metabolism
GLS,Arginine Metabolism,Metabolism
GOT2,Arginine Metabolism,Metabolism
GOT1,Arginine Metabolism,Metabolism
NOS1,Arginine Metabolism,Metabolism
ASL,Arginine Metabolism,Metabolism
PIK3CB,Autophagy,Cell Function
RPTOR,Autophagy,Cell Function
PRKACA,Autophagy,Cell Function
RAF1,Autophagy,Cell Function
IRS1,Autophagy,Cell Function
MAPK1,Autophagy,Cell Function
LAMP2,Autophagy,Cell Function
CTSL,Autophagy,Cell Function
AKT1,Autophagy,Cell Function
MAP2K1,Autophagy,Cell Function
HDAC6,Autophagy,Cell Function
BAD,Autophagy,Cell Function
ATG5,Autophagy,Cell Function
PTEN,Autophagy,Cell Function
MAPK9,Autophagy,Cell Function
DDIT4,Autophagy,Cell Function
PIK3R3,Autophagy,Cell Function
AKT3,Autophagy,Cell Function
PRKAA2,Autophagy,Cell Function
PIK3CD,Autophagy,Cell Function
ATG16L1,Autophagy,Cell Function
IRGM,Autophagy,Cell Function
KRAS,Autophagy,Cell Function
MTOR,Autophagy,Cell Function
LAMP1,Autophagy,Cell Function
RPS6KB1,Autophagy,Cell Function
RPS27A,Autophagy,Cell Function
DEPTOR,Autophagy,Cell Function
PPP2CB,Autophagy,Cell Function
RRAS2,Autophagy,Cell Function
HIF1A,Autophagy,Cell Function
ATG10,Autophagy,Cell Function
PRKACB,Autophagy,Cell Function
BCL2,Autophagy,Cell Function
TSC1,Autophagy,Cell Function
TANK,Autophagy,Cell Function
MAPK8,Autophagy,Cell Function
MAP2K2,Autophagy,Cell Function
RAB7A,Autophagy,Cell Function
PIK3R1,Autophagy,Cell Function
PRKACG,Autophagy,Cell Function
ATG12,Autophagy,Cell Function
MAPK10,Autophagy,Cell Function
NRAS,Autophagy,Cell Function
UBB,Autophagy,Cell Function
BCL2L1,Autophagy,Cell Function
ATG7,Autophagy,Cell Function
BNIP3,Autophagy,Cell Function
AKT2,Autophagy,Cell Function
PIK3CA,Autophagy,Cell Function
PRKCD,Autophagy,Cell Function
TRAF6,Autophagy,Cell Function
IGF1R,Autophagy,Cell Function
HMGB1,Autophagy,Cell Function
ATM,Autophagy,Cell Function
PIK3R2,Autophagy,Cell Function
MAP3K7,Autophagy,Cell Function
UBC,Autophagy,Cell Function
MAPK3,Autophagy,Cell Function
STK11,Autophagy,Cell Function
HRAS,Autophagy,Cell Function
TBK1,Autophagy,Cell Function
FCRL2,B cells,Immune Cell Function
SPIB,B cells,Immune Cell Function
CD37,B cells,Immune Cell Function
FAM30A,B cells,Immune Cell Function
CD79A,B cells,Immune Cell Function
CD24,B cells,Immune Cell Function
CR2,B cells,Immune Cell Function
CXCR5,B cells,Immune Cell Function
PTPRC,B cells,Immune Cell Function
TNFRSF14,B cells,Immune Cell Function
CD38,B cells,Immune Cell Function
PNOC,B cells,Immune Cell Function
ADA,B cells,Immune Cell Function
AICDA,B cells,Immune Cell Function
FAS,B cells,Immune Cell Function
CD3E,B cells,Immune Cell Function
IRF4,B cells,Immune Cell Function
BLK,B cells,Immune Cell Function
TNFSF18,B cells,Immune Cell Function
IL11,B cells,Immune Cell Function
CD70,B cells,Immune Cell Function
CD22,B cells,Immune Cell Function
MS4A1,B cells,Immune Cell Function
FCER2,B cells,Immune Cell Function
RAG1,B cells,Immune Cell Function
CD1D,B cells,Immune Cell Function
CD27,B cells,Immune Cell Function
CD40,B cells,Immune Cell Function
CTLA4,B cells,Immune Cell Function
CD5,B cells,Immune Cell Function
SOCS1,B cells,Immune Cell Function
CD19,B cells,Immune Cell Function
CD86,B cells,Immune Cell Function
CD79B,B cells,Immune Cell Function
IGLL1,B cells,Immune Cell Function
CD80,B cells,Immune Cell Function
CD274,B cells,Immune Cell Function
CHUK,BCR Signaling,Immune Cell Function
RAF1,BCR Signaling,Immune Cell Function
RAC1,BCR Signaling,Immune Cell Function
NFATC3,BCR Signaling,Immune Cell Function
PPP3CA,BCR Signaling,Immune Cell Function
PRKCB,BCR Signaling,Immune Cell Function
MAPK1,BCR Signaling,Immune Cell Function
RAC3,BCR Signaling,Immune Cell Function
NFKBIE,BCR Signaling,Immune Cell Function
BLNK,BCR Signaling,Immune Cell Function
NFATC2,BCR Signaling,Immune Cell Function
MAP2K1,BCR Signaling,Immune Cell Function
SYK,BCR Signaling,Immune Cell Function
REL,BCR Signaling,Immune Cell Function
PPP3R1,BCR Signaling,Immune Cell Function
PSMB9,BCR Signaling,Immune Cell Function
PPP3R2,BCR Signaling,Immune Cell Function
PSMC4,BCR Signaling,Immune Cell Function
LILRB1,BCR Signaling,Immune Cell Function
KRAS,BCR Signaling,Immune Cell Function
PSMB7,BCR Signaling,Immune Cell Function
HRAS,BCR Signaling,Immune Cell Function
PIK3CB,BCR Signaling,Immune Cell Function
MAP2K2,BCR Signaling,Immune Cell Function
PIK3R3,BCR Signaling,Immune Cell Function
NRAS,BCR Signaling,Immune Cell Function
UBC,BCR Signaling,Immune Cell Function
PPP3CB,BCR Signaling,Immune Cell Function
PSMB2,BCR Signaling,Immune Cell Function
NFATC1,BCR Signaling,Immune Cell Function
PLCG2,BCR Signaling,Immune Cell Function
PIK3R2,BCR Signaling,Immune Cell Function
CD79A,BCR Signaling,Immune Cell Function
NFKB1,BCR Signaling,Immune Cell Function
MAPK3,BCR Signaling,Immune Cell Function
JUN,BCR Signaling,Immune Cell Function
AKT3,BCR Signaling,Immune Cell Function
RASGRP1,BCR Signaling,Immune Cell Function
BTK,BCR Signaling,Immune Cell Function
RPS27A,BCR Signaling,Immune Cell Function
BLK,BCR Signaling,Immune Cell Function
LILRB3,BCR Signaling,Immune Cell Function
CR2,BCR Signaling,Immune Cell Function
SOS2,BCR Signaling,Immune Cell Function
INPP5D,BCR Signaling,Immune Cell Function
PSMB5,BCR Signaling,Immune Cell Function
IKBKG,BCR Signaling,Immune Cell Function
BCL10,BCR Signaling,Immune Cell Function
PIK3CA,BCR Signaling,Immune Cell Function
PSMB10,BCR Signaling,Immune Cell Function
LILRA3,BCR Signaling,Immune Cell Function
GRB2,BCR Signaling,Immune Cell Function
AKT2,BCR Signaling,Immune Cell Function
CD81,BCR Signaling,Immune Cell Function
RAC2,BCR Signaling,Immune Cell Function
MAP3K7,BCR Signaling,Immune Cell Function
LILRA5,BCR Signaling,Immune Cell Function
RELA,BCR Signaling,Immune Cell Function
LYN,BCR Signaling,Immune Cell Function
CD79B,BCR Signaling,Immune Cell Function
IFITM1,BCR Signaling,Immune Cell Function
LILRA4,BCR Signaling,Immune Cell Function
LILRB2,BCR Signaling,Immune Cell Function
UBB,BCR Signaling,Immune Cell Function
CUL1,BCR Signaling,Immune Cell Function
PIK3CD,BCR Signaling,Immune Cell Function
NFKBIA,BCR Signaling,Immune Cell Function
IKBKB,BCR Signaling,Immune Cell Function
SOS1,BCR Signaling,Immune Cell Function
AKT1,BCR Signaling,Immune Cell Function
SKP1,BCR Signaling,Immune Cell Function
LILRA1,BCR Signaling,Immune Cell Function
GSK3B,BCR Signaling,Immune Cell Function
CD19,BCR Signaling,Immune Cell Function
PSMB8,BCR Signaling,Immune Cell Function
CARD11,BCR Signaling,Immune Cell Function
FOS,BCR Signaling,Immune Cell Function
LILRB4,BCR Signaling,Immune Cell Function
PSMD7,BCR Signaling,Immune Cell Function
PIK3R1,BCR Signaling,Immune Cell Function
FYN,BCR Signaling,Immune Cell Function
PPP3CC,BCR Signaling,Immune Cell Function
CD22,BCR Signaling,Immune Cell Function
MAGEB2,Cancer Antigens,Disease
CTAGE1,Cancer Antigens,Disease
CTAG1B,Cancer Antigens,Disease
OTOA,Cancer Antigens,Disease
MAGEC2,Cancer Antigens,Disease
CT45A1,Cancer Antigens,Disease
CTCFL,Cancer Antigens,Disease
MLANA,Cancer Antigens,Disease
MAGEA4,Cancer Antigens,Disease
BAGE,Cancer Antigens,Disease
PRM1,Cancer Antigens,Disease
PASD1,Cancer Antigens,Disease
MAGEA3/A6,Cancer Antigens,Disease
MAGEA1,Cancer Antigens,Disease
MAGEC1,Cancer Antigens,Disease
MAGEA12,Cancer Antigens,Disease
PRAME,Cancer Antigens,Disease
GAGE1,Cancer Antigens,Disease
PDGFD,Cell Adhesion & Motility,Cell Function
THBS1,Cell Adhesion & Motility,Cell Function
VEGFB,Cell Adhesion & Motility,Cell Function
ITGA2B,Cell Adhesion & Motility,Cell Function
COL17A1,Cell Adhesion & Motility,Cell Function
TNR,Cell Adhesion & Motility,Cell Function
LAMC3,Cell Adhesion & Motility,Cell Function
COL4A5,Cell Adhesion & Motility,Cell Function
CCND1,Cell Adhesion & Motility,Cell Function
ITGB1,Cell Adhesion & Motility,Cell Function
EGFR,Cell Adhesion & Motility,Cell Function
AKT1,Cell Adhesion & Motility,Cell Function
ITGB4,Cell Adhesion & Motility,Cell Function
KDR,Cell Adhesion & Motility,Cell Function
PAK3,Cell Adhesion & Motility,Cell Function
COL4A3,Cell Adhesion & Motility,Cell Function
CDH1,Cell Adhesion & Motility,Cell Function
MAP2K1,Cell Adhesion & Motility,Cell Function
BAD,Cell Adhesion & Motility,Cell Function
ELK1,Cell Adhesion & Motility,Cell Function
CLECL1,Cell Adhesion & Motility,Cell Function
COL6A3,Cell Adhesion & Motility,Cell Function
PDGFC,Cell Adhesion & Motility,Cell Function
MET,Cell Adhesion & Motility,Cell Function
IBSP,Cell Adhesion & Motility,Cell Function
PTEN,Cell Adhesion & Motility,Cell Function
NECTIN1,Cell Adhesion & Motility,Cell Function
SPINK5,Cell Adhesion & Motility,Cell Function
MAPK9,Cell Adhesion & Motility,Cell Function
EGF,Cell Adhesion & Motility,Cell Function
PIK3R3,Cell Adhesion & Motility,Cell Function
PIK3CB,Cell Adhesion & Motility,Cell Function
RASGRF1,Cell Adhesion & Motility,Cell Function
COMP,Cell Adhesion & Motility,Cell Function
AKT3,Cell Adhesion & Motility,Cell Function
PKP3,Cell Adhesion & Motility,Cell Function
ERBB2,Cell Adhesion & Motility,Cell Function
RAF1,Cell Adhesion & Motility,Cell Function
COL4A6,Cell Adhesion & Motility,Cell Function
PDGFB,Cell Adhesion & Motility,Cell Function
PAK5,Cell Adhesion & Motility,Cell Function
ITGA5,Cell Adhesion & Motility,Cell Function
FLNB,Cell Adhesion & Motility,Cell Function
DSC3,Cell Adhesion & Motility,Cell Function
MAPK1,Cell Adhesion & Motility,Cell Function
PVR,Cell Adhesion & Motility,Cell Function
CCND2,Cell Adhesion & Motility,Cell Function
DST,Cell Adhesion & Motility,Cell Function
FN1,Cell Adhesion & Motility,Cell Function
BRAF,Cell Adhesion & Motility,Cell Function
PDPN,Cell Adhesion & Motility,Cell Function
PRKCB,Cell Adhesion & Motility,Cell Function
PDGFA,Cell Adhesion & Motility,Cell Function
IGF1,Cell Adhesion & Motility,Cell Function
PDGFRB,Cell Adhesion & Motility,Cell Function
PGF,Cell Adhesion & Motility,Cell Function
CCND3,Cell Adhesion & Motility,Cell Function
ROCK1,Cell Adhesion & Motility,Cell Function
SOS2,Cell Adhesion & Motility,Cell Function
ITGA7,Cell Adhesion & Motility,Cell Function
ITGA4,Cell Adhesion & Motility,Cell Function
ITGA3,Cell Adhesion & Motility,Cell Function
COL2A1,Cell Adhesion & Motility,Cell Function
ITGA8,Cell Adhesion & Motility,Cell Function
CDH11,Cell Adhesion & Motility,Cell Function
TNC,Cell Adhesion & Motility,Cell Function
LAMA5,Cell Adhesion & Motility,Cell Function
SHC1,Cell Adhesion & Motility,Cell Function
HGF,Cell Adhesion & Motility,Cell Function
THBS4,Cell Adhesion & Motility,Cell Function
GSK3B,Cell Adhesion & Motility,Cell Function
CAPN2,Cell Adhesion & Motility,Cell Function
ITGA9,Cell Adhesion & Motility,Cell Function
RAC2,Cell Adhesion & Motility,Cell Function
SHC3,Cell Adhesion & Motility,Cell Function
RHOA,Cell Adhesion & Motility,Cell Function
LAMC2,Cell Adhesion & Motility,Cell Function
CDH2,Cell Adhesion & Motility,Cell Function
CTNNB1,Cell Adhesion & Motility,Cell Function
PIK3R1,Cell Adhesion & Motility,Cell Function
PIK3CD,Cell Adhesion & Motility,Cell Function
CHAD,Cell Adhesion & Motility,Cell Function
BCL2,Cell Adhesion & Motility,Cell Function
SPP1,Cell Adhesion & Motility,Cell Function
LAMA1,Cell Adhesion & Motility,Cell Function
ITGAE,Cell Adhesion & Motility,Cell Function
ACTB,Cell Adhesion & Motility,Cell Function
RELN,Cell Adhesion & Motility,Cell Function
LAMB4,Cell Adhesion & Motility,Cell Function
COL1A2,Cell Adhesion & Motility,Cell Function
GRB2,Cell Adhesion & Motility,Cell Function
JUP,Cell Adhesion & Motility,Cell Function
PRKCA,Cell Adhesion & Motility,Cell Function
JUN,Cell Adhesion & Motility,Cell Function
ITGA1,Cell Adhesion & Motility,Cell Function
LAMB3,Cell Adhesion & Motility,Cell Function
TNN,Cell Adhesion & Motility,Cell Function
SHC2,Cell Adhesion & Motility,Cell Function
PIK3R2,Cell Adhesion & Motility,Cell Function
AKT2,Cell Adhesion & Motility,Cell Function
FLNA,Cell Adhesion & Motility,Cell Function
FLT1,Cell Adhesion & Motility,Cell Function
MAPK3,Cell Adhesion & Motility,Cell Function
ITGB7,Cell Adhesion & Motility,Cell Function
RAC3,Cell Adhesion & Motility,Cell Function
MAPK10,Cell Adhesion & Motility,Cell Function
PRKCG,Cell Adhesion & Motility,Cell Function
SHC4,Cell Adhesion & Motility,Cell Function
ITGAV,Cell Adhesion & Motility,Cell Function
HRAS,Cell Adhesion & Motility,Cell Function
COL6A6,Cell Adhesion & Motility,Cell Function
CDH3,Cell Adhesion & Motility,Cell Function
KRT5,Cell Adhesion & Motility,Cell Function
VEGFA,Cell Adhesion & Motility,Cell Function
COL4A4,Cell Adhesion & Motility,Cell Function
COL1A1,Cell Adhesion & Motility,Cell Function
PPL,Cell Adhesion & Motility,Cell Function
SOS1,Cell Adhesion & Motility,Cell Function
FLG,Cell Adhesion & Motility,Cell Function
CDH5,Cell Adhesion & Motility,Cell Function
ITGA2,Cell Adhesion & Motility,Cell Function
BIRC3,Cell Adhesion & Motility,Cell Function
MAPK8,Cell Adhesion & Motility,Cell Function
VEGFC,Cell Adhesion & Motility,Cell Function
ITGB3,Cell Adhesion & Motility,Cell Function
FLNC,Cell Adhesion & Motility,Cell Function
ITGB8,Cell Adhesion & Motility,Cell Function
PDGFRA,Cell Adhesion & Motility,Cell Function
IGF1R,Cell Adhesion & Motility,Cell Function
FYN,Cell Adhesion & Motility,Cell Function
KRT14,Cell Adhesion & Motility,Cell Function
VEGFD,Cell Adhesion & Motility,Cell Function
NECTIN2,Cell Adhesion & Motility,Cell Function
ITGA6,Cell Adhesion & Motility,Cell Function
RAC1,Cell Adhesion & Motility,Cell Function
ITGB6,Cell Adhesion & Motility,Cell Function
CD9,Cell Adhesion & Motility,Cell Function
PIK3CA,Cell Adhesion & Motility,Cell Function
LAMA3,Cell Adhesion & Motility,Cell Function
RANBP2,Cell Cycle,Cell Function
CCNA1,Cell Cycle,Cell Function
PSMB2,Cell Cycle,Cell Function
CDKN2B,Cell Cycle,Cell Function
MRE11,Cell Cycle,Cell Function
RAD51C,Cell Cycle,Cell Function
CDC7,Cell Cycle,Cell Function
TTK,Cell Cycle,Cell Function
GADD45B,Cell Cycle,Cell Function
TGFB2,Cell Cycle,Cell Function
KIF2C,Cell Cycle,Cell Function
CCND1,Cell Cycle,Cell Function
SMC1A,Cell Cycle,Cell Function
SKP1,Cell Cycle,Cell Function
MLPH,Cell Cycle,Cell Function
CCNE1,Cell Cycle,Cell Function
E2F4,Cell Cycle,Cell Function
TUBB,Cell Cycle,Cell Function
HSPA2,Cell Cycle,Cell Function
TWF1,Cell Cycle,Cell Function
MAPK1,Cell Cycle,Cell Function
TGFB1,Cell Cycle,Cell Function
SKP2,Cell Cycle,Cell Function
AKT1,Cell Cycle,Cell Function
WEE1,Cell Cycle,Cell Function
AURKA,Cell Cycle,Cell Function
WDR76,Cell Cycle,Cell Function
MDM4,Cell Cycle,Cell Function
CEP55,Cell Cycle,Cell Function
MKI67,Cell Cycle,Cell Function
NSD2,Cell Cycle,Cell Function
ATR,Cell Cycle,Cell Function
