"","23R8925|009|CD11c","23R8925|010|CD11c","23R9663|015|CD11c","23R9663|016|CD11c","23R9663|004|CD11c","23R9663|005|CD11c","23R9663|006|CD11c","23R9663|007|CD11c","23R8925|013|CD11c","23R8925|014|CD11c","23R8925|017|CD11c","23R8925|018|CD11c","23R9663|009|CD11c","23R9663|002|CD11c","23R9663|013|CD11c","23R9663|001|CD11c"
"PSMB2",44.6153994731503,39.0485995563733,44.1948482660756,45.1914271972851,44.3186213523194,45.846902801223,45.4271418821171,44.5700665140021,45.5037002367583,44.2592402439394,42.4659756129254,39.5786679814615,45.124131383148,47.4071345812424,43.389216744468,44.6440439009055
"IL4R",68.2086497053473,65.3192434270718,62.4661700901152,45.5836426283983,48.2046722538693,57.9657418577412,55.1136001533874,51.877814773157,54.9049403944851,65.1685223809664,67.0966327066207,71.8576222185064,52.12993896942,47.5961570641237,59.8012934769637,43.3572223276122
"FOXA2",29.4804867132731,27.6769892148633,34.3892894980974,32.7541167092558,30.0790113105718,30.3776109038578,29.9415025913143,29.587893100495,28.1441250135484,31.6267445444156,27.9431202430461,25.0297478846096,32.2572444371282,34.1810565350863,23.5512714719311,35.518414014918
"KDM6A",34.1396410663427,30.3398066505478,32.0538340281274,33.8584906095521,32.1399259739026,30.4296423470613,31.4670592250269,32.0549907286432,33.1742088971736,37.8870885293517,37.9621576538002,37.1725250096823,38.1129771258877,33.2533687880863,34.9742594919882,32.5928403942868
"IL3",26.3357087103958,27.2312011021821,28.4919632227849,29.8717533029417,29.8700473044346,28.1474906803649,29.7658423557394,29.3791458329156,28.7575694369974,32.5917617569827,32.6273829289676,21.972404767531,30.1845551069895,33.6268069698737,24.5247953812105,37.7155390202454
"GTF2H3",30.7404845153234,34.9498864339116,35.5008055451956,35.1703362674624,33.8536414015584,33.461397340645,33.7266290194734,33.2543651381043,36.4673588713576,33.8624955967385,30.5142526009805,34.6650903435945,35.6883799312591,40.3776536160616,30.132627222658,41.6230963557922
"ETS2",52.7262980928086,53.9113572626479,77.8556568314764,67.0414585157452,84.5192140514664,82.4658030333257,85.2495400156494,79.2930921032193,86.1740839340243,72.920232294068,60.0523871867575,57.8844290953784,70.4708836738532,79.7458463642016,60.3711694302105,84.5635610634747
"RASGRF2",29.8629921938995,30.2475735701975,31.5847508019999,26.5673948512723,29.1941848475907,29.2519998551057,28.0424630551453,28.580058501861,32.7787240538765,33.2067675533585,39.1429389862499,31.0337768484711,29.6993160883514,32.1779204503951,32.3606615155938,24.9525675279596
"TLX1",26.3880157390162,25.9542205622779,30.5052160693358,30.2847865028568,27.8725914849201,29.5483370953805,29.1097821984657,29.5360995513398,31.2756472157331,26.2864495561959,29.9407332106115,26.6991984210373,32.6986275636882,36.0081939447411,16.2841231101757,28.5597309886754
"ITGA2B",21.9401168319389,21.6033339926793,23.2342140632922,24.5611674076415,27.2348726391092,27.0401449868691,23.2286930481162,27.0021195001387,24.7105282665767,22.921626072764,29.9942407099138,18.288814771177,25.2363892999906,25.2106442709739,19.2765648432573,26.8281159450365
"STING1",74.4270969894262,65.9567672406343,62.115204345558,59.3008657857955,57.6063205568078,63.5724560760731,66.334142275464,58.7958111889495,65.673834220629,73.2012268187052,56.5917297140562,55.1096649461606,50.8989423371739,53.4657179338348,72.7020819228689,48.4626580493341
"P2RY13",48.9188064680295,53.1922681228162,50.5408383798509,51.0522978688016,60.6875695379805,49.641873721503,48.0921961120174,53.135850775729,50.3289163291549,60.524470129876,49.3171265088814,47.5433148706514,57.8048938594298,63.3408547112307,46.5801843978776,57.9682508719743
"LRP6",31.1777310348438,27.7373880723267,30.7401859765928,34.319502783857,30.7984958579475,29.2301418821155,29.8454589422791,32.5448882770411,30.82133569858,31.1837251477243,27.8348103147277,29.1020406266616,32.610549217331,32.2437530166695,32.2588964131847,31.2451265077985
"TNR",26.6956637826022,27.1038547706392,27.8123872551939,27.4270400413346,26.7832242841906,27.8009561412343,27.4829871689554,28.9058570175013,29.0873941474328,29.2349597614569,27.3902762161742,31.6946624652884,30.2327852964165,30.8973140860746,27.3061854164781,34.8135412587469
"MAPK14",65.9333908033044,61.7220091080291,57.2972161788144,67.3213669324132,68.1661693707611,63.9557006178737,65.9524896494414,64.6020883412013,59.9618641151278,60.6604259972674,57.5387440108347,62.1497518312958,62.3348287741211,63.0668961757796,40.2402528435864,69.848928928048
"PRKAR1B",43.1582879835726,44.3843389889047,48.3856811349051,44.9241411244585,53.1798077840211,47.5177344853823,50.166656666277,47.2672559204795,44.0610654594079,43.0145274072259,42.5475497446309,42.6734734021835,45.2143183128731,51.9670058382513,43.1868481179805,54.2804096962174
"WNT2",25.1573423738692,29.8433060539616,28.7321341263578,31.3524208685009,32.5539306261195,29.8003721220262,33.7486194949282,29.4970228148848,24.3906506559062,29.087651349588,28.8982221370391,25.4646290038882,36.2863349339772,40.0021477122159,28.8251877444966,28.6252379795461
